reci recn reclat recscale
 0.372 23 153.375 0.012
 0.384 23 152.45 0.012
 0.396 23 151.525 0.012
 0.408 24 150.675 0.012
 0.42 24 149.85 0.012
 0.432 24 149.075 0.012
 0.444 25 148.325 0.012
 0.456 25 147.625 0.012
 0.468 25 146.925 0.012
 0.48 26 146.275 0.012
 0.492 26 145.65 0.012
 0.504 26 145.075 0.012
 0.516 26 144.55 0.012
 0.528 27 101.85 0.012
 0.54 27 102.025 0.012
 0.552 27 101.9 0.012
 0.564 9 101.8 0.012
 0.576 8 101.75 0.012
 0.588 7 101.7 0.012
 0.6 6 101.65 0.012
 0 0 600 0.013
 0.012 0 600 0.013
 0.024 0 600 0.013
 0.036 0 600 0.013
 0.048 3 314.4 0.013
 0.06 4 277.575 0.013
 0.072 6 254.5 0.013
 0.084 7 238.2 0.013
 0.096 8 225.975 0.013
 0.108 9 216.375 0.013
 0.12 10 208.6 0.013
 0.132 11 202.15 0.013
 0.144 12 196.725 0.013
 0.156 12 192.05 0.013
 0.168 13 188 0.013
 0.18 14 184.425 0.013
 0.192 15 181.275 0.013
 0.204 15 178.425 0.013
 0.216 16 175.875 0.013
 0.228 17 173.55 0.013
 0.24 17 171.425 0.013
 0.252 18 169.475 0.013
 0.264 18 167.675 0.013
 0.276 19 166.025 0.013
 0.288 19 164.45 0.013
 0.3 20 163 0.013
 0.312 20 161.65 0.013
 0.324 21 160.375 0.013
 0.336 21 159.175 0.013
 0.348 22 158.025 0.013
 0.36 22 156.95 0.013
 0.372 22 155.925 0.013
 0.384 23 154.95 0.013
 0.396 23 154.025 0.013
 0.408 24 153.15 0.013
 0.42 24 152.3 0.013
 0.432 24 151.5 0.013
 0.444 25 150.725 0.013
 0.456 25 149.975 0.013
 0.468 25 149.275 0.013
 0.48 25 148.6 0.013
 0.492 26 147.95 0.013
 0.504 26 147.325 0.013
 0.516 26 146.75 0.013
 0.528 26 146.2 0.013
 0.54 26 145.75 0.013
 0.552 27 102.225 0.013
 0.564 9 101.9 0.013
 0.576 8 101.8 0.013
 0.588 7 101.75 0.013
 0.6 7 101.675 0.013
 0 0 600 0.014
 0.012 0 600 0.014
 0.024 0 600 0.014
 0.036 0 600 0.014
 0.048 3 322.7 0.014
 0.06 4 284.575 0.014
 0.072 5 260.625 0.014
 0.084 7 243.725 0.014
 0.096 8 231.025 0.014
 0.108 9 221.025 0.014
 0.12 10 212.95 0.014
 0.132 10 206.275 0.014
 0.144 11 200.625 0.014
 0.156 12 195.775 0.014
 0.168 13 191.55 0.014
 0.18 14 187.85 0.014
 0.192 14 184.55 0.014
 0.204 15 181.625 0.014
 0.216 16 178.975 0.014
 0.228 16 176.55 0.014
 0.24 17 174.375 0.014
 0.252 18 172.35 0.014
 0.264 18 170.475 0.014
 0.276 19 168.75 0.014
 0.288 19 167.15 0.014
 0.3 20 165.65 0.014
 0.312 20 164.25 0.014
 0.324 21 162.95 0.014
 0.336 21 161.7 0.014
 0.348 22 160.525 0.014
 0.36 22 159.425 0.014
 0.372 22 158.35 0.014
 0.384 23 157.35 0.014
 0.396 23 156.4 0.014
 0.408 23 155.5 0.014
 0.42 24 154.625 0.014
 0.432 24 153.8 0.014
 0.444 24 153 0.014
 0.456 25 152.225 0.014
 0.468 25 151.5 0.014
 0.48 25 150.8 0.014
 0.492 26 150.15 0.014
 0.504 26 149.5 0.014
 0.516 26 148.875 0.014
 0.528 26 148.3 0.014
 0.54 26 147.75 0.014
 0.552 26 147.25 0.014
 0.564 9 101.675 0.014
 0.576 8 101.975 0.014
 0.588 7 101.825 0.014
 0.6 7 101.725 0.014
 0 0 600 0.015
 0.012 0 600 0.015
 0.024 0 600 0.015
 0.036 0 600 0.015
 0.048 3 330.8 0.015
 0.06 4 291.4 0.015
 0.072 5 266.625 0.015
 0.084 6 249.1 0.015
 0.096 7 235.925 0.015
 0.108 8 225.575 0.015
 0.12 9 217.2 0.015
 0.132 10 210.275 0.015
 0.144 11 204.4 0.015
 0.156 12 199.375 0.015
 0.168 13 195 0.015
 0.18 13 191.15 0.015
 0.192 14 187.75 0.015
 0.204 15 184.7 0.015
 0.216 16 181.95 0.015
 0.228 16 179.475 0.015
 0.24 17 177.2 0.015
 0.252 17 175.1 0.015
 0.264 18 173.175 0.015
 0.276 19 171.4 0.015
 0.288 19 169.75 0.015
 0.3 20 168.2 0.015
 0.312 20 166.75 0.015
 0.324 20 165.4 0.015
 0.336 21 164.125 0.015
 0.348 21 162.925 0.015
 0.36 22 161.775 0.015
 0.372 22 160.675 0.015
 0.384 23 159.65 0.015
 0.396 23 158.675 0.015
 0.408 23 157.725 0.015
 0.42 24 156.85 0.015
 0.432 24 156 0.015
 0.444 24 155.175 0.015
 0.456 25 154.375 0.015
 0.468 25 153.625 0.015
 0.48 25 152.925 0.015
 0.492 25 152.225 0.015
 0.504 26 151.575 0.015
 0.516 26 150.925 0.015
 0.528 26 150.325 0.015
 0.54 26 149.75 0.015
 0.552 26 149.2 0.015
 0.564 8 148.675 0.015
 0.576 7 148.25 0.015
 0.588 7 101.85 0.015
 0.6 7 101.825 0.015
 0 0 600 0.016
 0.012 0 600 0.016
 0.024 0 600 0.016
 0.036 0 600 0.016
 0.048 3 338.775 0.016
 0.06 4 298.1 0.016
 0.072 5 272.475 0.016
 0.084 6 254.375 0.016
 0.096 7 240.725 0.016
 0.108 8 230.025 0.016
 0.12 9 221.35 0.016
 0.132 10 214.15 0.016
 0.144 11 208.1 0.016
 0.156 12 202.875 0.016
 0.168 12 198.35 0.016
 0.18 13 194.375 0.016
 0.192 14 190.85 0.016
 0.204 15 187.7 0.016
 0.216 15 184.85 0.016
 0.228 16 182.3 0.016
 0.24 17 179.925 0.016
 0.252 17 177.775 0.016
 0.264 18 175.8 0.016
 0.276 18 173.95 0.016
 0.288 19 172.25 0.016
 0.3 19 170.65 0.016
 0.312 20 169.175 0.016
 0.324 20 167.775 0.016
 0.336 21 166.45 0.016
 0.348 21 165.2 0.016
 0.36 22 164.025 0.016
 0.372 22 162.925 0.016
 0.384 22 161.85 0.016
 0.396 23 160.85 0.016
 0.408 23 159.9 0.016
 0.42 23 158.975 0.016
 0.432 24 158.1 0.016
 0.444 24 157.25 0.016
 0.456 24 156.45 0.016
 0.468 25 155.675 0.016
 0.48 25 154.95 0.016
 0.492 25 154.225 0.016
 0.504 26 153.55 0.016
 0.516 26 152.9 0.016
 0.528 26 152.275 0.016
 0.54 26 151.675 0.016
 0.552 26 151.1 0.016
 0.564 8 150.55 0.016
 0.576 7 150.025 0.016
 0.588 6 149.575 0.016
 0.6 7 101.6 0.016
 0 0 600 0.017
 0.012 0 600 0.017
 0.024 0 600 0.017
 0.036 0 600 0.017
 0.048 3 346.6 0.017
 0.06 4 304.65 0.017
 0.072 5 278.225 0.017
 0.084 6 259.525 0.017
 0.096 7 245.425 0.017
 0.108 8 234.35 0.017
 0.12 9 225.4 0.017
 0.132 10 217.975 0.017
 0.144 11 211.675 0.017
 0.156 11 206.3 0.017
 0.168 12 201.625 0.017
 0.18 13 197.525 0.017
 0.192 14 193.875 0.017
 0.204 14 190.625 0.017
 0.216 15 187.675 0.017
 0.228 16 185.025 0.017
 0.24 16 182.6 0.017
 0.252 17 180.375 0.017
 0.264 18 178.325 0.017
 0.276 18 176.425 0.017
 0.288 19 174.675 0.017
 0.3 19 173.025 0.017
 0.312 20 171.5 0.017
 0.324 20 170.05 0.017
 0.336 21 168.7 0.017
 0.348 21 167.425 0.017
 0.36 21 166.225 0.017
 0.372 22 165.075 0.017
 0.384 22 163.975 0.017
 0.396 23 162.95 0.017
 0.408 23 161.975 0.017
 0.42 23 161.025 0.017
 0.432 24 160.125 0.017
 0.444 24 159.25 0.017
 0.456 24 158.425 0.017
 0.468 25 157.65 0.017
 0.48 25 156.875 0.017
 0.492 25 156.15 0.017
 0.504 25 155.45 0.017
 0.516 26 154.8 0.017
 0.528 26 154.15 0.017
 0.54 26 153.525 0.017
 0.552 26 152.925 0.017
 0.564 8 152.35 0.017
 0.576 7 151.8 0.017
 0.588 6 151.3 0.017
 0.6 6 150.825 0.017
 0 0 600 0.018
 0.012 0 600 0.018
 0.024 0 600 0.018
 0.036 0 600 0.018
 0.048 3 354.3 0.018
 0.06 4 311.1 0.018
 0.072 5 283.85 0.018
 0.084 6 264.55 0.018
 0.096 7 250.025 0.018
 0.108 8 238.6 0.018
 0.12 9 229.35 0.018
 0.132 10 221.675 0.018
 0.144 10 215.2 0.018
 0.156 11 209.65 0.018
 0.168 12 204.825 0.018
 0.18 13 200.575 0.018
 0.192 13 196.825 0.018
 0.204 14 193.45 0.018
 0.216 15 190.425 0.018
 0.228 16 187.7 0.018
 0.24 16 185.175 0.018
 0.252 17 182.9 0.018
 0.264 17 180.8 0.018
 0.276 18 178.85 0.018
 0.288 18 177.025 0.018
 0.3 19 175.35 0.018
 0.312 19 173.75 0.018
 0.324 20 172.275 0.018
 0.336 20 170.9 0.018
 0.348 21 169.575 0.018
 0.36 21 168.325 0.018
 0.372 22 167.15 0.018
 0.384 22 166.05 0.018
